Year,Temp,Hour,Day
2008,T28,98.5,4.465277778
2009,T28,5.5,0.229166667
2010,T28,296,14.10416667
2011,T28,44.5,1.993055556
2012,T28,152.3333333,6.611111111
2013,T28,25.33333333,1.055555556
2014,T28,0,0
2015,T28,69,4.069444444
2016,T28,,
2017,T28,29,1.208333333
2018,T28,110.1666667,4.590277778
2019,T28,108.3333333,4.673611111
2020,T28,176.6666667,9.138888889
2008,T29,8.666666667,0.4 
2009,T29,0,0.0 
2010,T29,42.5,1.8 
2011,T29,3.333333333,0.1 
2012,T29,6.333333333,0.3 
2013,T29,0,0.0 
2014,T29,0,0.0 
2015,T29,28.66666667,1.2 
2016,T29,,
2017,T29,0,0.0 
2018,T29,0,0.0 
2019,T29,3.833333333,0.2 
2020,T29,42.66666667,1.8 
