Sample,Ecklonia,Sargassum,Small_algae,Geniculate_CA,Nongeniculate_CA
2019M4-09,90,0,2,1,10
2019M4-10,75,0,2,1,10
2019M4-11,100,0,0,0,0
2019M4-12,90,0,2,1,1
2019M4-13,100,0,0,0,0
2019M4-14,100,0,0,0,0
2019M4-15,50,0,2,20,1
2019M4-16,75,0,2,15,1
2019M4-17,90,0,2,1,1
2019M4-18,90,0,0,10,0
2019M4-19,75,0,2,15,1
2019M7-09,55,0,5,15,1
2019M7-10,40,5,0,1,3
2019M7-11,15,0,0,0,0
2019M7-12,10,10,1,30,5
2019M7-13,60,0,2,10,1
2019M7-14,35,0,3,20,5
2019M7-15,30,0,3,30,0
2019M7-16,15,0,15,10,0
2019M7-17,60,0,1,30,0
2019M7-18,0,0,11,15,10
2019M7-19,15,0,0,5,0
2020M4-09,0,0,22,10,20
2020M4-10,1,0,22,1,10
2020M4-11,1,0,21,20,20
2020M4-12,0,0,2,90,1
2020M4-13,1,0,0,80,1
2020M4-14,1,0,12,30,30
2020M4-15,0,0,22,30,30
2020M4-16,1,0,22,20,20
2020M4-17,0,0,12,15,1
2020M4-18,1,0,21,40,10
2020M4-19,0,0,12,50,10
2020M7-09,0,0,3,1,10
2020M7-10,1,0,2,20,10
2020M7-11,0,0,11,20,10
2020M7-12,0,0,11,30,20
2020M7-13,0,0,3,25,10
2020M7-14,0,0,2,30,10
2020M7-15,0,0,12,50,10
2020M7-16,0,0,3,50,1
2020M7-17,1,0,2,10,1
2020M7-18,0,0,0,0,0
2020M7-19,0,0,2,1,1
